rank,module,normal_time,skipkernel_time,time_diff,pct_diff
6576,Mathlib.Data.Fintype.Sets,1.59,1.69,-0.10,-6.2
6577,Mathlib.CategoryTheory.MorphismProperty.IsInvertedBy,1.36,1.45,-0.09,-6.2
6578,Mathlib.LinearAlgebra.RootSystem.RootPairingCat,1.88,2.01,-0.12,-6.2
6579,Mathlib.Analysis.Calculus.FDeriv.Extend,3.06,3.26,-0.20,-6.2
6580,Mathlib.SetTheory.Cardinal.Basic,2.83,3.02,-0.19,-6.2
6581,Mathlib.Order.Interval.Set.WithBotTop,1.29,1.38,-0.09,-6.2
6582,Mathlib.Analysis.Convex.Topology,3.13,3.33,-0.21,-6.2
6583,Mathlib.CategoryTheory.Monoidal.End,3.05,3.25,-0.20,-6.2
6584,Mathlib.LinearAlgebra.Multilinear.Pi,1.80,1.92,-0.12,-6.3
6585,Mathlib.Order.Fin.Basic,1.68,1.79,-0.11,-6.3
6586,Mathlib.Algebra.Order.Group.Action,1.12,1.20,-0.07,-6.3
6587,Mathlib.Order.Atoms,3.55,3.79,-0.24,-6.3
6588,Mathlib.Analysis.Calculus.Deriv.Support,1.91,2.04,-0.13,-6.3
6589,Mathlib.Data.Nat.Cast.Order.Ring,1.49,1.59,-0.10,-6.3
